CityName,Status,State(s),1990Population,2000Population,2010Population,2017EstPopulation
San Jose - Sunnyvale - Santa Clara,Metropolitan Statistical Area,CA,"1,534,274","1,735,995","1,836,940","1,998,463"
San Juan - Bayamón - Caguas,Metropolitan Statistical Area,PR,"2,217,966","2,387,790","2,350,324","2,112,005"
San Luis Obispo - Paso Robles,Metropolitan Statistical Area,CA,"217,162","246,746","269,591","283,405"
Santa Cruz - Watsonville,Metropolitan Statistical Area,CA,"229,734","255,614","262,366","275,897"
Santa Fe,Metropolitan Statistical Area,NM,"98,928","129,304","144,217","148,750"
Santa Isabel,Micropolitan Statistical Area,PR,"19,318","21,665","23,274","21,863"
Santa Maria - Santa Barbara,Metropolitan Statistical Area,CA,"369,608","399,293","423,949","448,150"
Santa Rosa - Petaluma,Metropolitan Statistical Area,CA,"388,222","458,586","483,870","504,217"
Sault Ste. Marie,Micropolitan Statistical Area,MI,"34,604","38,543","38,673","37,711"
Savannah,Metropolitan Statistical Area,GA,"257,899","293,324","347,598","387,543"
Sayre,Micropolitan Statistical Area,PA,"60,967","62,747","62,709","60,853"
Scottsbluff,Micropolitan Statistical Area,NE,"38,426","39,242","38,971","38,308"
Scottsboro,Micropolitan Statistical Area,AL,"47,796","53,871","53,226","51,909"
Scottsburg,Micropolitan Statistical Area,IN,"20,991","22,976","24,185","23,870"
Scranton - Wilkes-Barre (Wyoming Valley),Metropolitan Statistical Area,PA,"575,322","560,793","563,625","555,426"
Searcy,Micropolitan Statistical Area,AR,"54,676","67,164","77,076","79,016"
Seattle - Tacoma - Bellevue,Metropolitan Statistical Area,WA,"2,559,136","3,043,934","3,439,806","3,867,046"
Sebastian - Vero Beach,Metropolitan Statistical Area,FL,"90,208","112,877","138,028","154,383"
Sebring - Avon Park,Metropolitan Statistical Area,FL,"68,432","87,391","98,786","102,883"
Sedalia,Micropolitan Statistical Area,MO,"35,437","39,418","42,201","42,558"
Selinsgrove,Micropolitan Statistical Area,PA,"36,680","37,506","39,709","40,801"
Selma,Micropolitan Statistical Area,AL,"48,130","46,361","43,820","39,215"
Seneca,Micropolitan Statistical Area,SC,"57,494","66,199","74,275","77,270"
Seneca Falls,Micropolitan Statistical Area,NY,"33,683","33,319","35,244","34,498"
Sevierville,Micropolitan Statistical Area,TN,"51,050","71,200","89,725","97,638"
Seymour,Micropolitan Statistical Area,IN,"37,730","41,397","42,376","43,884"
Shawano,Micropolitan Statistical Area,WI,"41,232","45,230","46,187","45,550"
Shawnee,Micropolitan Statistical Area,OK,"58,760","65,505","69,442","72,226"
Sheboygan,Metropolitan Statistical Area,WI,"103,877","112,663","115,510","115,344"
Shelby,Micropolitan Statistical Area,NC,"84,958","96,129","98,030","97,334"
Shelbyville,Micropolitan Statistical Area,TN,"30,411","37,608","45,056","48,117"
Shelton,Micropolitan Statistical Area,WA,"38,341","49,443","60,696","63,710"
Sheridan,Micropolitan Statistical Area,WY,"23,562","26,563","29,116","30,210"
Sherman - Denison,Metropolitan Statistical Area,TX,"95,019","110,574","120,881","131,140"
Show Low,Micropolitan Statistical Area,AZ,"77,674","97,452","107,489","108,956"
Shreveport - Bossier City,Metropolitan Statistical Area,LA,"360,009","375,973","398,604","401,555"
Sidney,Micropolitan Statistical Area,OH,"44,915","48,292","49,418","48,759"
Sierra Vista - Douglas,Metropolitan Statistical Area,AZ,"97,624","117,743","131,356","124,756"
Sikeston,Micropolitan Statistical Area,MO,"39,376","40,437","39,187","38,541"
Silver City,Micropolitan Statistical Area,NM,"27,676","31,004","29,510","27,687"
Sioux City,Metropolitan Statistical Area,IA-NE-SD,"131,350","143,001","143,582","143,398"
Sioux Falls,Metropolitan Statistical Area,SD,"153,500","187,151","228,260","259,094"
